Group ID,Filename,Folder,Size (KB),Dimensions,Match %
62,v01_c0201e6108_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6108\texture,235,512 x 1024,98

63,v01_c0201e6114_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6114\texture,29,256 x 256,98

63,v01_c0201e6114_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6114\texture,36,256 x 256,98

64,v01_c0201e6137_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6137\texture,80,256 x 512,98

64,v01_c0101e6137_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6137\texture,53,256 x 512,98

65,v01_c0201e9157_top_b_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\equipment\e9157\texture,125,512 x 512,98

65,v01_c0201e9157_top_b_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e9157\texture,126,512 x 512,98

66,v01_c0501e0071_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\equipment\e0071\texture,57,256 x 256,98

66,v01_c0501e0071_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0071\texture,51,256 x 256,99

66,v01_c0101e0071_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0071\texture,51,256 x 256,98

67,v01_c0701e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0164\texture,50,256 x 256,98

67,v01_c0701e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0164\texture,51,256 x 256,98

68,v01_c0701e9083_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e9083\texture,45,256 x 256,98

68,v01_c0101e9083_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e9083\texture,45,256 x 256,98

69,v01_c0801e0006_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\equipment\e0006\texture,62,256 x 256,98

69,v01_c0101e0006_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0006\texture,67,256 x 256,98

69,v01_c0501e0006_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0006\texture,67,256 x 256,98

69,v01_c0801e0006_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0006\texture,67,256 x 256,99

70,v01_c0801e0013_top_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\equipment\e0013\texture,171,256 x 512,98

70,v01_c0101e0013_top_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0013\texture,169,256 x 512,98

70,v01_c0801e0013_top_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0013\texture,168,256 x 512,99

71,v01_c0801e0070_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\equipment\e0070\texture,84,256 x 256,98

71,v01_c0801e0070_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0070\texture,81,256 x 256,99

71,v01_c0101e0070_met_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\equipment\e0070\texture,81,256 x 256,98

