filename,dimensions,format
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0029\texture\lmp_s0_m0029_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0031\texture\lmp_s0_m0031_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0044\texture\lmp_s0_m0044_0d_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0045\texture\lmp_s0_m0045_0b_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0049\texture\lmp_s0_m0049_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\lmp\lp\0051\texture\lmp_s0_m0051_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\rf\0104\texture\opt_rf_m0104_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\rf\0105\texture\opt_rf_m0105_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0001\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0002\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0003\texture\opt_sg_m0003_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0004\texture\opt_sg_m0004_0c_d.dds,128x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0005\texture\opt_sg_m0005_0c_d.dds,128x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0006\texture\opt_sg_m0006_0b_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0007\texture\opt_sg_m0007_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0008\texture\opt_sg_m0008_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0009\texture\opt_sg_m0009_0a_d.dds,512x512,BC7_UNORM
